run_index,timestamp_utc,ground_truth_latitude,ground_truth_longitude,estimated_latitude,estimated_longitude,identified_objects_used,latitude_error_degrees,longitude_error_degrees,latitude_error_meters,longitude_error_meters,error_distance_meters,cumulative_mean_error_meters
2628,2026-09-21T06:37:50.316635Z,-71.02371886174265,-179.3498421632216,-82.46632771444013,-111.02332775890771,42,-11.442608852697475,68.32651440431391,-1272360.0519980742,1742006.4748137454,1956082.6228251404,2542275.71016016
2629,2026-09-21T06:38:09.107757Z,71.85422015514995,-137.4995014571145,71.82452170663232,-137.35486671314848,35,-0.029698448517621046,0.14463474396600873,-3302.3168043740766,5012.673552113561,6002.6797450516915,2541310.9809739995
2630,2026-09-21T06:38:30.499049Z,-53.07425918723769,103.44982908297521,-83.08010168556787,-179.9999988756099,45,-30.005842498330175,76.5501720414149,-3336497.4555100063,3178013.7906230735,3987705.1895090793,2541860.9407491083
2631,2026-09-21T06:38:47.435885Z,27.0263987301747,155.9632376084473,26.31581997922805,-179.93337886481854,32,-0.7105787509466523,24.103383526734206,-79012.75208669518,2394997.658813462,2392667.9178797104,2541804.234925137
2632,2026-09-21T06:39:03.627558Z,-38.43681900680554,-10.336592578297314,-38.44039154019878,-10.270347285678614,32,-0.0035725333932390413,0.06624529261870293,-397.2475885964517,5769.711872388435,5783.370926424819,2540840.7011622195
2633,2026-09-21T06:39:09.743967Z,38.788104901459,124.66555787827343,2.5617417561797398,21.753701964278232,1,-36.22636314527926,-102.9118559139952,-4028187.792538473,-10706313.791677056,10941046.55036692,2544031.0565929846
2634,2026-09-21T06:39:20.867233Z,38.6395909788228,23.52860854322074,38.57309352482551,23.462534161848712,18,-0.06649745399729312,-0.06607438137203303,-7394.179519278927,-5741.429767018041,9361.51132740735,2543068.7674717754
2635,2026-09-21T06:39:39.004244Z,-40.983791113458544,88.15184237494634,-41.03273435147886,88.19507038490079,33,-0.048943238020314084,0.04322800995444709,-5442.239761416003,3627.2344426457103,6540.244677317329,2542106.1380513604
2636,2026-09-21T06:39:58.945956Z,-62.64902500944198,82.74691784266554,-62.64769231836324,82.87278257649348,37,0.0013326910787370139,0.12586473382793884,148.18848674002012,6430.245635793086,6431.951929519818,2541144.197920054
2637,2026-09-21T06:40:21.596039Z,60.44028260728229,65.50555127425747,60.48868861970995,65.46130743355377,43,0.0484060124276553,-0.04424384070370024,5382.50300104873,-2425.2251986161123,5903.647345489216,2540182.7870172956
2638,2026-09-21T06:40:30.516360Z,18.19685967276544,91.79320510059517,18.15964095467125,91.87305270716215,16,-0.037218718094191416,0.07984760656697176,-4138.532628288125,8435.520248204244,9396.033723908613,2539223.428884887
2639,2026-09-21T06:40:44.697365Z,3.328366687828617,17.23811849004568,3.2391069412135174,17.30482845809621,21,-0.08925974661509972,0.06670996805053164,-9925.230977177913,7405.630818222967,12383.600709983402,2538265.9298973256
2640,2026-09-21T06:41:00.629880Z,-53.388188070993046,-100.61808946626677,-53.010729186599995,-102.50163502154115,27,0.3774588843930502,-1.8835455552743952,41971.512961422195,-125461.51228761968,132291.07293540586,2537354.57578484
2641,2026-09-21T06:41:18.364902Z,-74.67902650908177,-61.89442911668631,-72.28630477071088,-48.954945620944976,30,2.3927217383708808,12.939483495741342,266058.51817899116,409060.02879572264,486429.11763007694,2536578.004236883
